INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
12/29/2016,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,R2001,Snowy owl,,,,,,,,,,,,,,,,TRUE,FALSE,12,2016,,,AGL,,10L/28R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Large,,xxxx-x-xx-xxxxxx,"Ops found in the grass RSA between TWY CC and TWY DD, on the south side of the RWY. ID'D by WS.",,,,,Deleted,Deleted,1/17/2017,FAA Form 5200-7-E,Carcass Found,,,5/8/2018,FALSE,FALSE
12/26/2016,IL,KORD,CHICAGO O'HARE INTL ARPT,AAL,AMERICAN AIRLINES,A-320,D,UNKBL,Unknown bird - large,N,,04A,3,,,A,4,2,1,1,,,,2234,FALSE,FALSE,12,2016,Night,2000,AGL,,27L,,1000,145,3,Approach,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,1,1,Large,N,xxxx-xx-xx-xxxxxx,,,,,,Deleted,Deleted,12/26/2016,FAA Form 5200-7-E,Pilot,,,5/8/2018,FALSE,FALSE
12/22/2016,IL,KMDW,CHICAGO MIDWAY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,R2004,Short-eared owl,,,,,,,,,,,,,,,,TRUE,TRUE,12,2016,,,AGL,,31C,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,"xxxx-xx-xx-xxxxxx, Rx",Found by SWA maintenance on 22R short of 31R. WS biologist sent feather samples to Smithsonian for identification.,,,,,Deleted,Deleted,12/22/2016,FAA Form 5200-7-E,Carcass Found,,,5/8/2018,FALSE,FALSE
12/18/2016,IL,KORD,CHICAGO O'HARE INTL ARPT,ANA,ALL NIPPON AIRWAYS,B-777,D,J2109,Mallard,,,148,,,,A,5,2,1,1,,,,11,TRUE,FALSE,12,2016,Day,1701,AGL,,28R,,,,,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,,,,,,1,Medium,,"xxxx-x-xx-xxxxxx, MOR: ORD-M-xxxx/xx/xx-xxxx","NO PHASE OF FLIGHT, ALT OR DISTANCE. ASSUME FOUND KORD. MOR Remarks: BIRD STRIKE. ANA11, B77W REPORTED AT BIRD STRIKE ON RWY 28R.  CITY INSPECTED RWY 28R AND FOUND A SINGLE GOOSE. ANA11 CONTINUED ON FLIGHT AND DID NOT REPORT ANY DAMAGE OR ISSUES. ",,,,,Deleted,Deleted,1/17/2017,Multiple,Airport Operations,,,5/8/2018,FALSE,FALSE
12/15/2016,IL,KMDW,CHICAGO MIDWAY INTL ARPT,SWA,SOUTHWEST AIRLINES,B-737-800,D,J2204,Canada goose,M?,,148,43,10,1,A,4,2,1,1,,,N8605SE,105,TRUE,TRUE,12,2016,,1015,AGL,,31C,,3000,,,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,Some Cloud,None,2 to 10,1,Medium,N,"xxxx-xx-xx-xxxxxx, Rx","A/C declared an emergency and returned to MDW and landed safely on RWY 31C. Damage to engine is unknown at this time, and passengers were rebooked on another flight.

WS biologist responded to the bird strike and collected snarge and feather sample to send to the Smithsonian for identification.Major core damage to #1 engine.",,,,,Deleted,Deleted,12/15/2016,FAA Form 5200-7-E,Pilot,,,4/20/2018,FALSE,TRUE
12/15/2016,IL,KCPS,ST LOUIS DOWNTOWN,PVT,PRIVATELY OWNED,C-172,A,UNKB,Unknown bird,N,,226,7,,,A,1,1,7,,,,N1725V,,FALSE,FALSE,12,2016,Night,1812,AGL,,,,,,10,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,,,,1,,,MOR: CPS-M-xxxx/xx/xx-xxxx,"AIRBORNE ONE (N1725V), C172 LANDED AT 0012Z ON RY12R WITHOUT INCINDENT. UPON ROLL OUT, AIRBORNE ONE REOPRTED A BIRD STRIKE AND POSSIBLE FOD ON RY12R. RESCUE 92 RESPONDED AND FOUND NEGATIVE FOD. LATER IT WAS LEARNED, AIRBORNE ONE HAD TAKEN THE BIRD STRIKE ",,,,,,,,MOR,Tower,,,,FALSE,FALSE
12/15/2016,IL,KRFD,CHICAGO/ROCKFORD INTL ARPT,AAY,ALLEGIANT AIR,A-320,D,J2204,Canada goose,M?,,04A,3,,,A,4,2,1,1,,,N234NV,1671,TRUE,TRUE,12,2016,,510,AGL,,25,,500,167,,Climb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Engine Shut Down,,,None,2 to 10,2 to 10,Large,N,"xxxx-x-xx-xxxxxx,Rx, xxxx-xx-xxxxxx","The event occurred shortly after takeoff, during early stages of climb. The flight crew did not see any birds while in flight (nor had there been any warning of birds in the area) due to darkness. Engine was shutdown and the AC return to the field.

#1 engine suffered heavy damage to its fan blades and was removed. The #2 engine also showed evidence of bird strikes, but was inspected and found to be serviceable. Both wings and the fuselage showed evidence of bird impact, but the nose of the AC was 'clean'.
",120,,,,Deleted,Deleted,1/19/2017,FAA Form 5200-7-E,Air Transport Operations,,,4/20/2018,FALSE,TRUE
12/14/2016,IL,KORD,CHICAGO O'HARE INTL ARPT,UNK,UNKNOWN,UNKNOWN,,ZX004,Dark-eyed junco,,,,,,,,,,,,,,,,TRUE,TRUE,12,2016,,,AGL,,27R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,"xxxx-xx-xx-xxxxxx, Rx","WS found remains during weekly RWY inspection at 4000ft remaining, on the south shoulder.",,,,,Deleted,Deleted,12/19/2016,FAA Form 5200-7-E,Carcass Found,,,5/8/2018,FALSE,FALSE
12/14/2016,IL,KORD,CHICAGO O'HARE INTL ARPT,AAL,AMERICAN AIRLINES,B-737-800,D,UNKBL,Unknown bird - large,N,,148,43,10,1,A,4,2,1,1,,,N992AN,2724,FALSE,FALSE,12,2016,Day,1158,AGL,,27L,,800,150,2,Approach,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,11 to 100,2 to 10,Large,N,xxxx-xx-xx-xxxxxx,,2,,,,Deleted,Deleted,12/14/2016,FAA Form 5200-7-E,Pilot,,,4/20/2018,FALSE,FALSE
12/11/2016,IL,KORD,CHICAGO O'HARE INTL ARPT,SKW,SKYWEST AIRLINES,CRJ100/200,D,K3302,Red-tailed hawk,N,,188,10,22,4,A,3,2,5,5,,,N960SW,5254,TRUE,FALSE,12,2016,,1446,AGL,,10C-28C,,,,,Local,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,part not reptd,,,,,,1,Medium,,xxxx-xx-xx-xxxxxx,Ops found remains at the 8000ft remaining sign. No damage to aircraft. ID'D by WS. Unknown phase of flight.,,,,,Deleted,Deleted,12/15/2016,FAA Form 5200-7-E,Airport Operations,,,5/8/2018,FALSE,FALSE
