year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,1,AA,American Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",149,32,6.33,4.95,14.94,0,5.79,6,2,1691,342,275,763,0,311
2004,1,CO,Continental Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",120,39,1.38,2.05,32.9,0,2.68,4,1,2071,47,90,1763,0,171
2004,1,DH,Atlantic Coast Airlines,MDW,"Chicago, IL: Chicago Midway International",56,17,3.21,0.44,7.42,0,5.93,0,0,857,125,18,421,0,293
2004,1,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",155,40,6.99,0.2,25.32,0,7.48,7,1,1421,253,7,838,0,323
2004,1,FL,AirTran Airways Corporation,MDW,"Chicago, IL: Chicago Midway International",247,70,8.89,0,40.42,0,20.68,15,2,2871,289,0,1395,0,1187
2004,1,MQ,American Eagle Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",51,16,4.5,1.76,8.48,0,1.26,4,0,731,300,67,313,0,51
2004,1,NW,Northwest Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",346,69,19.32,3.44,41.86,0,4.38,13,1,3126,1261,229,1432,0,204
2004,1,OH,Comair Inc.,MDW,"Chicago, IL: Chicago Midway International",48,18,4.44,5.29,7.27,0,1,3,0,692,143,241,292,0,16
2004,1,RU,ExpressJet Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",126,36,6.7,0.19,22.87,0,6.24,2,0,1618,209,12,1087,0,310
2004,1,TZ,ATA Airlines d/b/a ATA,MDW,"Chicago, IL: Chicago Midway International",2464,703,70.89,10.75,367.49,4.82,249.04,67,4,57111,6063,1122,28845,182,20899
2004,1,WN,Southwest Airlines Co.,MDW,"Chicago, IL: Chicago Midway International",3835,641,91.65,55.21,234.68,3.08,256.38,104,50,33651,3914,5762,10112,237,13626
2004,2,AA,American Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",130,26,8.23,1.64,6.61,0,9.52,3,0,1357,340,110,323,0,584
2004,2,CO,Continental Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",126,20,1,0,18.24,0.76,0,1,0,644,90,0,462,92,0
