year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,1,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",8691,3346,264.81,112.07,2336.58,1.01,631.53,793,10,235984,21812,8264,150749,31,55128
2004,1,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",31,6,4.06,0,1.94,0,0,0,0,338,286,0,52,0,0
2004,1,CO,Continental Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",385,161,10.3,0.7,138.62,0,11.37,22,0,11442,462,74,10095,0,811
2004,1,DH,Atlantic Coast Airlines,ORD,"Chicago, IL: Chicago O'Hare International",3991,1805,231.46,24.97,1367.97,4.24,176.36,445,14,151214,19780,2657,111952,174,16651
2004,1,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",545,253,26.69,2.8,198.22,0,25.29,45,0,13209,1718,226,9619,0,1646
2004,1,EV,Atlantic Southeast Airlines,ORD,"Chicago, IL: Chicago O'Hare International",141,35,3.2,2.85,28.1,0,0.86,19,0,2163,90,100,1930,0,43
2004,1,HP,America West Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",243,114,9.63,0,95.32,0.47,8.58,16,0,6553,533,0,5399,7,614
2004,1,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6753,2978,158.56,40.71,1588.22,1.62,1188.89,746,18,194344,14387,4473,93492,65,81927
2004,1,NW,Northwest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",642,228,33.24,49.54,134.55,0,10.66,60,0,11910,2062,3056,6060,0,732
2004,1,OH,Comair Inc.,ORD,"Chicago, IL: Chicago O'Hare International",170,73,13.64,32.83,24.86,0,1.67,18,0,4227,596,2585,1017,0,29
2004,1,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",436,200,77,4,103,2,14,40,0,15929,3414,339,10797,30,1349
2004,1,RU,ExpressJet Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",150,69,3.79,0.18,57.91,0,7.13,12,0,4769,147,13,4037,0,572
2004,1,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",10042,3585,380.46,44.55,2769.9,0,390.09,391,9,251650,25073,3071,188994,0,34512
2004,1,US,US Airways Inc.,ORD,"Chicago, IL: Chicago O'Hare International",495,219,30.86,1.43,152.54,0,34.18,45,1,11905,1290,157,8286,0,2172
2004,2,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",8112,2344,206.15,65.41,1586.58,2.38,483.48,332,6,122319,15350,4493,75431,98,26947
2004,2,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",29,9,3.55,0.48,4.98,0,0,0,0,372,236,10,126,0,0
2004,2,CO,Continental Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",374,124,10.96,0.1,103.92,1.34,7.68,4,0,6571,578,3,5436,51,503
2004,2,DH,Atlantic Coast Airlines,ORD,"Chicago, IL: Chicago O'Hare International",3926,1723,66.89,2.27,1126.22,1.09,526.54,158,3,93983,4389,68,56980,65,32481
2004,2,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",492,212,43.3,1.66,122.73,0,44.31,28,1,9689,2578,97,4671,0,2343
2004,2,EV,Atlantic Southeast Airlines,ORD,"Chicago, IL: Chicago O'Hare International",136,24,5.77,1,14.71,0,2.53,11,0,1031,240,177,517,0,97
2004,2,HP,America West Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",228,121,18.66,0,84.71,0,17.63,4,0,6102,1126,0,3878,0,1098
2004,2,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6400,2116,104.4,16.76,1149.92,1.59,843.33,247,2,99183,9838,1440,47767,71,40067
2004,2,NW,Northwest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",612,184,34.53,35.07,104.88,0,9.52,31,2,7936,1615,2234,3720,0,367
