Sequence AOS 59,English Name,Scientific Name,Introduced,Province / State / Territory,Country,Population Estimate,Lower 95% bound,Upper 95% bound,Data Source,Estimated % of Global Population,Estimated % of USA/Canada Population,Median Estimate,Lower 80% bound,Upper 80% bound,BBS Average (birds/rte),BBS Routes,Species Routes,Area of Region      (km2),Detection Distance Category (m),Pair Adjust Category,Time Adjust Mean,Time Adjust             SD,Population Estimate (unrounded),Lower 80% bound (unrounded),Upper 80% bound (unrounded),Lower 95% bound (unrounded),Upper 95% bound (unrounded)
81,Plain Chachalaca,Ortalis vetula,,TX,USA,,,,,,,,,,0.005,204,1,"687,020",300,2,1.646,0.225,,,,,
94,Mountain Quail,Oreortyx pictus,,CA,USA,"230,000","150,000","320,000",bbs,87.8%,89.8%,"220,000","170,000","290,000",2.229,191,104,"410,207",300,2,1.501,0.022,"225,206","171,416","286,830","150,115","322,391"
94,Mountain Quail,Oreortyx pictus,,OR,USA,"25,000","13,000","41,000",bbs,9.6%,9.8%,"23,000","16,000","35,000",0.398,99,30,"250,255",300,2,1.501,0.022,"24,545","16,058","34,774","13,038","40,930"
94,Mountain Quail,Oreortyx pictus,,NV,USA,910,490,"1,600","bbs,rng",0.4%,0.4%,860,590,"1,300",0.013,30,0,"286,367",300,2,1.501,0.022,908,589,"1,296",487,"1,586"
94,Mountain Quail,Oreortyx pictus,,WA,USA,170,0,840,bbs,0.1%,0.1%,67,0,470,0.004,85,1,"176,218",300,2,1.501,0.022,166,0,465,0,843
99,Northern Bobwhite,Colinus virginianus,,TX,USA,,,,,,,,,,12.191,204,163,"687,020",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,KS,USA,,,,,,,,,,23.154,61,60,"213,799",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,OK,USA,,,,,,,,,,26.466,53,53,"181,091",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,MO,USA,,,,,,,,,,17.656,70,68,"180,132",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,NE,USA,,,,,,,,,,9.542,46,36,"198,759",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,IL,USA,,,,,,,,,,11.498,98,86,"145,883",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,GA,USA,,,,,,,,,,8.561,88,83,"152,868",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,FL,USA,,,,,,,,,,8.189,80,70,"148,384",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,KY,USA,,,,,,,,,,9.077,40,39,"103,889",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,NC,USA,,,,,,,,,,6.093,80,72,"128,528",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,IN,USA,,,,,,,,,,7.364,52,46,"93,534",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,AL,USA,,,,,,,,,,4.740,90,87,"134,073",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,MS,USA,,,,,,,,,,4.682,40,34,"123,538",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,SC,USA,,,,,,,,,,7.055,39,38,"80,340",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,AR,USA,,,,,,,,,,3.940,46,44,"137,847",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,IA,USA,,,,,,,,,,3.648,33,19,"146,186",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,TN,USA,,,,,,,,,,4.135,41,36,"108,727",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,VA,USA,,,,,,,,,,4.014,50,41,"103,906",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,LA,USA,,,,,,,,,,2.465,71,59,"119,899",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,NM,USA,,,,,,,,,,0.537,64,14,"315,028",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,OH,USA,,,,,,,,,,1.242,60,26,"107,060",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,MD,USA,,,,,,,,,,1.398,62,26,"25,903",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,CO,USA,,,,,,,,,,0.112,133,13,"269,493",200,1.75,1.602,0.026,,,,,
99,Northern Bobwhite,Colinus virginianus,,WI,USA,,,,,,,,,,0.144,92,26,"144,883",200,1.75,1.602,0.026,,,,,
