Species List,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Route Count,81,93,85,87,82,93,84,86,79,84,83,88,85,88,83,77,87
Canada Goose,457,762,494,558,303,287,466,381,471,619,468,555,448,634,599,637,667
Mute Swan,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Wood Duck,46,26,74,40,19,25,72,30,28,21,31,41,30,60,43,33,50
Blue-winged Teal,5,0,5,0,2,1,0,0,1,0,0,0,0,4,1,0,0
Gadwall,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mallard,223,158,159,83,173,142,81,81,94,140,110,106,45,110,106,98,93
Hooded Merganser,0,0,0,0,11,1,2,0,0,8,5,16,2,12,2,1,1
Northern Bobwhite,1321,1167,1258,1167,1266,1285,1284,1233,1101,1158,857,655,730,654,501,555,588
Gray Partridge,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ring-necked Pheasant,389,497,496,579,388,529,463,486,294,378,243,302,331,244,201,182,235
Wild Turkey,29,35,44,84,63,98,46,89,74,59,67,46,79,47,76,46,77
Pied-billed Grebe,1,1,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0
Rock Pigeon,631,579,570,622,694,566,679,402,376,368,302,446,570,394,504,296,420
African Collared-Dove (a.k.a. Ringed Turtle-Dove),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurasian Collared-Dove,0,2,4,13,31,69,76,77,83,104,90,120,157,190,195,195,194
Mourning Dove,3247,3421,3246,4269,3792,5178,4729,4660,3487,3448,3440,3289,4117,3789,3477,2907,3220
Yellow-billed Cuckoo,197,246,284,222,299,189,156,308,141,152,85,206,80,77,124,176,261
Black-billed Cuckoo,1,5,6,15,9,3,4,12,8,1,2,4,0,3,2,3,6
Common Nighthawk,2,6,1,7,1,6,3,3,3,3,7,4,2,1,4,4,7
Chuck-will's-widow,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Whip-poor-will,12,6,7,6,6,10,1,2,1,7,4,1,2,5,0,5,1
Chimney Swift,819,990,950,897,734,934,631,701,590,743,601,569,481,428,497,437,425
Ruby-throated Hummingbird,40,77,46,53,77,72,52,61,54,64,54,55,60,56,65,51,59
Virginia Rail,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sora,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
American Coot,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Sandhill Crane,0,0,0,0,0,0,0,8,0,0,2,2,6,5,2,9,10
Black-necked Stilt,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Killdeer,1667,1569,1383,1339,1402,1872,1407,1398,1405,1799,1764,1472,1472,1431,1343,1245,1700
Upland Sandpiper,9,13,7,4,1,12,4,18,10,6,6,18,18,19,17,11,15
American Woodcock,0,4,0,1,1,0,0,0,0,2,6,0,0,0,0,1,2
Wilson's Snipe,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
